x-Accelaration,Y-Accelaration,Z-Accelaration,X-Hall,Y-Hall,Z-Hall
-103.46,9.76,983.81,-96.13,-9.01,497.92
-103.46,11.71,983.81,-96.13,-9.01,494.89
-101.50,9.76,987.71,-93.12,-9.01,493.68
