x-Accelaration,Y-Accelaration,Z-Accelaration,X-Hall,Y-Hall,Z-Hall
-111.26,9.76,985.76,-111.15,-6.01,497.92
-113.22,9.76,979.90,-111.15,-6.01,496.71
-111.26,11.71,983.81,-111.15,-3.00,498.52
