x-Accelaration,Y-Accelaration,Z-Accelaration,X-Hall,Y-Hall,Z-Hall
7.81,23.42,987.71,-249.33,117.16,1003.70
7.81,25.38,989.66,-252.34,120.16,1004.30
5.86,25.38,987.71,-249.33,120.16,1003.70
