x-Accelaration,Y-Accelaration,Z-Accelaration,X-Hall,Y-Hall,Z-Hall
-66.37,1001.38,122.98,-99.13,-24.03,165.77
-72.22,979.90,117.12,-96.13,-27.04,165.17
117.12,728.10,163.97,-102.14,-27.04,174.24
